filename	duration_s	width	height	size_mb
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_3840632024.mp4	30.02	1920	1080	27.27
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_350959136.mp4	30.01	1920	1080	27.27
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2549792810.mp4	30.00	1920	1080	27.37
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2222920259.mp4	30.01	1920	1080	27.34
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_209894404.mp4	30.01	1920	1080	27.33
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2040138897.mp4	30.02	1920	1080	27.42
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1853690341.mp4	30.01	1920	1080	27.35
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1407298170.mp4	30.01	1920	1080	27.38
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1167807952.mp4	30.00	1920	1080	27.33
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1088514532.mp4	30.00	1920	1080	26.93
00002_w_support_3156223103.mp4	30.02	1920	1080	27.34
00002_W_Support_2971016497.mp4	30.01	1920	1080	27.32
00002_W_Day_40_Auntie_Rain_3521432732.mp4	30.00	1920	1080	27.36
00002_Twitch_dropped_50_subs_3132675369.mp4	30.02	1920	1080	27.45
00002_RRRRRR_1995901667.mp4	30.02	1920	1080	27.54
00002_Real_Words_Spoken_4229334107.mp4	60.00	1920	1080	56.05
00002_PRAYER_FROM_INDY_SUPPORTS_2868663419.mp4	30.00	1920	1080	27.35
00002_Naptown_Showing_Out_138696961.mp4	30.02	1920	1080	27.36
00002_made_it_to_indy_3121851588.mp4	30.02	1920	1080	27.37
00002_lyst_429368521.mp4	30.01	1920	1080	27.09
00002_Lookk_For_the_white_shirt_lol_498813482.mp4	43.51	1920	1080	39.84
00002_LET_EM_KNOW_INDY_DAY40_1627808882.mp4	30.00	1920	1080	27.37
00002_Indy_showing_love_to_hmblzayy_32399608.mp4	30.00	1920	1080	27.38
00002_Day_39_41_Miles_2220826980.mp4	30.01	1920	1080	27.35
00002_41_Miles_Day39_1393364058.mp4	30.02	1920	1080	26.98
00001_Zayy_w_supporters_2596084193.mp4	30.00	1920	1080	27.34
00001_Zayy-_With_Supporters_367615760.mp4	30.02	1920	1080	27.35
00001_zay_turning_up_the_aunties_565388390.mp4	30.01	1920	1080	27.31
00001_yes_1745485304.mp4	30.02	1920	1080	27.39
00001_www_support_1422739653.mp4	30.02	1920	1080	27.36
00001_www_2937024352.mp4	30.01	1920	1080	27.31
00001_walmart_spoiling_Zay_3846370416.mp4	30.02	1920	1080	27.37
00001_walmart_731778609.mp4	30.02	1920	1080	27.37
00001_walmart_3262414766.mp4	30.02	1920	1080	27.42
00001_walmart_216360071.mp4	30.02	1920	1080	27.36
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_908953102.mp4	30.02	1920	1080	27.31
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_452872362.mp4	30.02	1920	1080	27.33
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_3585033361.mp4	30.02	1920	1080	27.28
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_3514598779.mp4	30.01	1920	1080	27.33
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_3458572267.mp4	30.00	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2857555526.mp4	30.01	1920	1080	27.35
00001_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1622971654.mp4	30.02	1920	1080	27.34
