Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Engaged views,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Transaction revenue (USD),Transactions,Revenue per transaction (USD),YouTube Premium (USD),Watch Page ads (USD),Estimated DoubleClick revenue (USD),Estimated AdSense revenue (USD),YouTube ad revenue (USD),Ad impressions,Playback-based CPM (USD),CPM (USD),Estimated monetized playbacks,RPM (USD),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
t627Mad1ljI,How to Spot False Prophets by Their True Fruits @AIBIBLEGOSPELS,"Aug 5, 2025",38,0:00:30,79.99,563,44.42,,,,,,,,,,,,,,,,,,,,1387,5.0515,6,,434,3.23
SIXOuwwXpzo,Why Israel Is Called So Holy They Must Follow @AIBIBLEGOSPELS,"Jul 18, 2025",57,0:00:35,61.86,550,51.41,,,,,,,,,,,,,,,,,,,,1115,5.6028,3,,323,2.48
BMHa1-aVF_4,Unveiling the Hidden Truth: Why the Apocrypha Was Removed from the Bible,"Sep 3, 2025",55,0:01:03,116.15,549,58.31,,,,,,,,,,,,,,,,,,,,1101,9.9121,2,,1692,3.55
K7JT9tQa_So,The Miraculous Healing of a Leper That Defied All Odds! @AIBIBLEGOSPELS,"Aug 3, 2025",34,0:00:24,72.15,542,38.2,,,,,,,,,,,,,,,,,,,,1507,4.0255,7,,285,1.4
dxFbCCS6k3U,Unveiling Rome's Hidden Symbolism and Bible Revisions That Changed History @AIBIBLEGOSPELS,"Sep 4, 2025",63,0:01:04,102.66,525,52.57,,,,,,,,,,,,,,,,,,,,1145,9.6378,5,,342,2.92
wZNMyr3ikxs,How The Most High Redeemed Israel  A Story of love @AIBIBLEGOSPELS,"Jul 25, 2025",67,0:00:33,50.57,524,49.34,,,,,,,,,,,,,,,,,,,,1123,5.1437,3,,419,3.58
oYW3mgVLIfU,Who Are The Israelites  Unpacking Their Divine @AIBIBLEGOSPELS,"Jul 19, 2025",63,0:00:48,76.38,524,53.53,,,,,,,,,,,,,,,,,,,,1089,7.2011,3,,686,2.48
jFSKLn20ecs,Why You Must Remove Your Own Flaws Before Judging Others @AIBIBLEGOSPELS,"Jul 28, 2025",26,0:01:21,312.12,519,24.7,,,,,,,,,,,,,,,,,,,,2002,12.307,0,,404,4.21
afwWega5ofA,The Prophecy of David's Righteous Branch  Hope @AIBIBLEGOSPELS,"Jul 20, 2025",31,0:00:41,132.68,517,29.73,,,,,,,,,,,,,,,,,,,,1782,6.4261,10,,342,2.05
sxlj45oKFrc,Did Jesus Bring Peace or Division  The Truth @AIBIBLEGOSPELS,"Jul 12, 2025",23,0:00:26,115.4,512,30.58,,,,,,,,,,,,,,,,,,,,1784,4.2588,3,,380,3.42
PCxBqyvr8NA,The Lost Tribes of Israel Blessings Deuteronomy 28:1-14 @AIBIBLEGOSPELS,"Mar 6, 2025",155,0:01:30,58.51,507,,,,,,,,,,,,,,,,,,,,,507,12.7732,7,,8979,2.74
ooFdPFS_qvs,"Christ’s True Mission  Awakening Israel, Not EVERYONE AT FIRST @AIBIBLEGOSPELS","Jul 13, 2025",47,0:00:47,101.92,491,32.15,,,,,,,,,,,,,,,,,,,,1627,6.895,2,,801,2.62
TXa0EqXTjr0,The Call to Moses  How The Most High Sent Israel @AIBIBLEGOSPELS,"Jul 23, 2025",62,0:00:54,87.74,490,42.55,,,,,,,,,,,,,,,,,,,,1261,7.6669,5,,326,2.76
FZS8WGcY6Wg,The Remnant of Israel  What Romans 11 Reveals @AIBIBLEGOSPELS,"Jul 15, 2025",44,0:00:39,89.3,481,42.61,,,,,,,,,,,,,,,,,,,,1232,5.5392,2,,910,3.3
XuDLCMmWT6g,Why Did They Lock Away This Mysterious Painting? @AIBIBLEGOSPELS,"Sep 5, 2025",69,0:00:29,43.33,439,63.76,,,,,,,,,,,,,,,,,,,,747,3.7608,5,,302,1.66
NRUOZmX2NWg,Did Jesus Abolish the Law  The Shocking Truth @AIBIBLEGOSPELS,"Jul 8, 2025",66,0:00:56,85.24,412,43.54,,,,,,,,,,,,,,,,,,,,1053,6.6353,2,,500,2
8o0oDlRCAKc,Part 52 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 30, 2025",4,0:00:10,258.89,407,47.1,,,,,,,,,,,,,,,,,,,,1593,1.3652,4,,984,1.83
