Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Engaged views,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Transaction revenue (USD),Transactions,Revenue per transaction (USD),YouTube Premium (USD),Watch Page ads (USD),Estimated DoubleClick revenue (USD),Estimated AdSense revenue (USD),YouTube ad revenue (USD),Ad impressions,Playback-based CPM (USD),CPM (USD),Estimated monetized playbacks,RPM (USD),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
ODXWf2EagfQ,The Forgotten Prayer of King Manasses (Apocrypha Scripture) @AIBIBLEGOSPELS,"Feb 16, 2026",236,0:01:09,29.44,46,,,,,,,,,,,,,,,,,,,,,46,0.8879,0,,1458,1.92
wlRi_e-zzE4,Part 69 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 13, 2025",56,0:00:46,82.75,45,68.85,,,,,,,,,,,,,,,,,,,,83,0.5881,0,,391,5.12
sgLo5OdT06k,The Grain Fields Confrontation - Jesus Breaks The Sabbath Law #KJVBible #Gospel,"Mar 12, 2026",50,0:00:21,42.48,45,14.71,,,,,,,,,,,,,,,,,,,,287,0.3519,1,,46,0
Z8z2MM1e2L8,What Happened to King James' Family? @AIBIBLEGOSPELS,"Sep 7, 2025",65,0:00:27,42.36,45,25.63,,,,,,,,,,,,,,,,,,,,141,0.3742,0,,453,2.65
95TP7Geht98,Book of Matthew 6,"Mar 8, 2026",24,0:00:13,57.03,42,15.91,,,,,,,,,,,,,,,,,,,,266,0.2346,3,,60,1.67
FEkLq5XApX0,The Everlasting Covenant  Israel’s Promise @AIBIBLEGOSPELS,"Jul 22, 2025",40,0:02:01,303.51,40,17.92,,,,,,,,,,,,,,,,,,,,197,1.4065,0,,242,2.07
2MuEXCJVjZU,Book of Matthew 6,"Mar 8, 2026",12,0:00:11,94.72,39,15,,,,,,,,,,,,,,,,,,,,270,0.2003,6,,29,0
jAwoWZbiQeE,Book of Matthew 6,"Mar 8, 2026",19,0:00:13,71.72,38,33.04,,,,,,,,,,,,,,,,,,,,123,0.1743,0,,21,0
ccPTvavU5uU,This Ancient Law Still Changes Everything Today #bible #faith #gospel,"Feb 28, 2026",26,0:00:18,69.29,37,21.39,,,,,,,,,,,,,,,,,,,,166,0.2341,7,,52,0
rKLtGlKw4ak,3 Things Jesus Commands Before You Enter His Kingdom,"Jul 17, 2025",667,0:03:00,27.07,37,,,,,,,,,,,,,,,,,,,,,37,1.8559,0,,768,2.6
n7bbRBUSXfY,Jesus Heals on the Sabbath—What the Pharisees Got Wrong #BibleTruth #Jesus #Gospel,"Mar 13, 2026",41,0:00:18,44.42,37,16.02,,,,,,,,,,,,,,,,,,,,221,0.2528,2,,70,2.86
t4g80RwGtis,Matthew 13 KJV | The Hidden Mysteries Jesus Only Revealed to the Chosen,"Mar 9, 2026",439,0:02:19,31.79,34,,,,,,,,,,,,,,,,,,,,,34,1.1867,0,,695,4.03
s_BujKy3mjs,Matthew 7 #motivation #quotes #duet,"Mar 8, 2026",39,0:00:26,68.77,32,31.07,,,,,,,,,,,,,,,,,,,,115,0.2669,1,,14,0
QBMo8vJm1D0,Matthew 12 KJV | Lord of the Sabbath & The Unpardonable Sin,"Mar 8, 2026",468,0:02:19,29.81,32,,,,,,,,,,,,,,,,,,,,,32,1.2399,0,,478,5.65
zQaLpyUFfNA,Why Governments Fear Moral Truth #AIBibleGospels #12Tribes,"Sep 17, 2025",45,0:00:41,91.34,32,71.88,,,,,,,,,,,,,,,,,,,,58,0.37,0,,413,3.87
fXq8_8QVb1M,Real Me Podcast | Episode 2: The Secret Lives of Billionaires @AIBIBLEGOSPELS,"Sep 1, 2025",696,0:01:38,14.13,31,,,,,,,,,,,,,,,,,,,,,31,0.847,0,,1073,1.86
xO5bu0thY28,Deuteronomy 6 | Hear O Israel – The Shema & Greatest Commandment (KJV) @AIBIBLEGOSPELS,"Feb 28, 2026",299,0:02:17,46,30,,,,,,,,,,,,,,,,,,,,,30,1.1462,0,,671,2.68
p8E7hz7Vtn4,Matthew 10 KJV | The Full Gospel in Cinematic Vision,"Mar 7, 2026",415,0:01:34,22.77,30,,,,,,,,,,,,,,,,,,,,,30,0.7913,0,,494,3.44
2jY6JD1f3Ak,AI Voice of the Gospel | Who Are the 12 Tribes of Israel? | Ancient Truths Uncovered,"Mar 14, 2026",66,0:00:31,47.97,24,15.19,,,,,,,,,,,,,,,,,,,,159,0.2513,,,25,0
l0aQ6HURuS8,Matthew 7  #motivation #godsays #quotes  #money  #success,"Mar 8, 2026",37,0:00:26,70.67,24,17.91,,,,,,,,,,,,,,,,,,,,133,0.2093,0,,23,0
KVWUcoV2nOI,Full Matthew 11 KJV | Divine Rebuke & The Invitation to Rest,"Mar 7, 2026",316,0:00:55,17.54,23,,,,,,,,,,,,,,,,,,,,,23,0.3542,0,,661,2.42
VwLNSJuesG0,Jesus Confronts the Pharisees - Matthew 12's Battle for Truth & Righteousness,"Mar 13, 2026",546,0:02:09,23.78,23,,,,,,,,,,,,,,,,,,,,,23,0.8296,0,,663,2.41
ggEaJVWsYMs,Jesus Showed His Power Through Radical Forgiveness #jesus #miracle #scripture,"Mar 14, 2026",46,0:00:20,44.49,23,8.71,,,,,,,,,,,,,,,,,,,,240,0.2026,,,22,0
q91VkMp8tY8,Consider the Lilies of the Field #BibleTruth #Scripture,"Mar 7, 2026",15,0:00:18,123.23,22,10,,,,,,,,,,,,,,,,,,,,204,0.1736,3,,22,0
8MkOFpDqJS0,Book of Matthew 6,"Mar 8, 2026",14,0:00:12,91.22,22,16.18,,,,,,,,,,,,,,,,,,,,135,0.1162,3,,29,0
IDe8Ig3Rw1g,Matthew's Meal With Jesus Changed History #BibleStory #Gospel #Faith,"Mar 14, 2026",57,0:00:17,30.92,21,8.54,,,,,,,,,,,,,,,,,,,,233,0.1665,,,22,4.55
TMSy1bkK2tQ,Where Are the 12 Tribes NOW? #BibleMystery #EndTimes #Prophecy,"Mar 14, 2026",43,0:00:27,63.99,20,10.42,,,,,,,,,,,,,,,,,,,,175,0.2022,,,22,9.09
0iHi6R3c8Hk,What God Says About Wrong Prayer #godscommand #matthew,"Mar 7, 2026",17,0:00:19,117.04,19,26.09,,,,,,,,,,,,,,,,,,,,83,0.1242,0,,57,0
_Ylc1IR0qTc,These Biblical Laws Will Transform Your Character #Discipline #Faith,"Feb 28, 2026",21,0:00:14,69.36,19,13.1,,,,,,,,,,,,,,,,,,,,135,0.1208,1,,33,3.03
U6Si4hbf1lI,Top 10 Angels and Demons Ranked in a Surprising Countdown! @AIBIBLEGOSPELS,"May 31, 2025",263,0:02:00,45.94,18,,,,,,,,,,,,,,,,,,,,,18,0.6041,0,,336,2.98
5PkQelhrXaM,What the Bible Says About the 12 Tribes #IsraeliteAwakening #Scripture,"Feb 28, 2026",34,0:01:17,228.62,16,80,,,,,,,,,,,,,,,,,,,,37,0.3474,0,,62,1.61
MoHNAkcvuQ4,Jesus' Authority Over Sickness & Demons | Matthew 8 KJV Miracles Revealed,"Mar 7, 2026",366,0:01:05,17.77,16,,,,,,,,,,,,,,,,,,,,,16,0.2891,0,,405,2.72
tm7WlZ7A85w,Can Worry Change Anything? Jesus Says No #EndTimes #SpiritualTruth,"Mar 7, 2026",8,0:01:23,1045.25,15,8.15,,,,,,,,,,,,,,,,,,,,170,0.396,0,,39,0
3riiNCfzQ_g,They've Been Using the Same Deception for 2000 Years #Bible #GovernmentControl,"Sep 14, 2025",45,0:04:23,586.27,14,46.15,,,,,,,,,,,,,,,,,,,,37,1.0333,0,,423,1.89
3ePJ8t-MOXU,The Sermon on the Mount Visualized | Matthew 6 KJV AI,"Mar 7, 2026",372,0:02:51,46.21,14,,,,,,,,,,,,,,,,,,,,,14,0.6685,0,,134,5.97
fwFx-3qy1S8,"Matthew 9 KJV | Miracles, Faith & the Power to Heal","Mar 7, 2026",395,0:01:48,27.47,13,,,,,,,,,,,,,,,,,,,,,13,0.3919,0,,287,2.79
AXYOKOD6GFs,King Manasseh's Prayer That Changed Everything #Bible #Prayer #Gospel,"Feb 28, 2026",38,0:00:31,82.1,12,73.33,,,,,,,,,,,,,,,,,,,,22,0.1053,0,,58,0
FL2X41cjCVs,Matthew 7 KJV | Not Everyone Who Says Lord Shall Enter,"Mar 7, 2026",297,0:01:35,32.29,11,,,,,,,,,,,,,,,,,,,,,11,0.293,0,,197,3.55
7Uw_TQ1yscU,Who Really Are the 12 Tribes of Israel | Ancient Secrets Revealed #BibleTruth #Prophecy,"Feb 28, 2026",44,0:00:22,51.28,10,47.62,,,,,,,,,,,,,,,,,,,,24,0.0671,0,,160,0.63
VpDeAEbK2cA,Matthew chapter 6  #motivation #quotes #duet,"Mar 7, 2026",11,0:00:10,98.8,8,16.33,,,,,,,,,,,,,,,,,,,,51,0.0411,0,,21,0
dsTtcVaQu1Q,Book of Matthew 6,"Mar 8, 2026",12,0:00:10,87.86,6,9.68,,,,,,,,,,,,,,,,,,,,64,0.0357,2,,36,0
vfrGj7jOGbk,Matthew 8  #motivation #godsays #quotes #godscommand,"Mar 8, 2026",41,0:00:27,67.19,5,41.67,,,,,,,,,,,,,,,,,,,,15,0.0406,0,,31,0
FPmOIuG-TIo,Why Did James Lose His Friends Over This Secret? @AIBIBLEGOSPELS,"Sep 9, 2025",140,0:01:04,46.22,5,,,,,,,,,,,,,,,,,,,,,5,0.0899,0,,143,2.1
 -grZ-uQ2U7w,Kingdom Prosperity AD,,75,0:00:59,79.66,5,,,,,,,,,,,,,,,,,,,,,5,0.083,0,,0,
ZTRImPlvwgE,Matthew 7  #motivation #godsays #quotes #love,"Mar 8, 2026",37,0:00:47,127.35,5,25,,,,,,,,,,,,,,,,,,,,24,0.0703,0,,26,0
e3XFPdsTTvs,Where Are the 12 Tribes of Israel Now? Scripture Uncovers the Answer #EndTimes #Prophecy,"Mar 8, 2026",39,0:00:24,61.92,4,23.08,,,,,,,,,,,,,,,,,,,,16,0.031,0,,147,1.36
mvQ4BQILSd8,Matthew 8 #BibleProphecy #AIBibleGospels #12Tribes,"Mar 8, 2026",43,0:00:55,129.21,3,12.5,,,,,,,,,,,,,,,,,,,,26,0.0542,0,,48,2.08
